id;name
0;Автономна Республіка Крим
1;Вінницька обл.
2;Волинська обл.
3;Дніпропетровська обл.
4;Донецька обл.
5;Житомирська обл.
6;Закарпатська обл.
7;Запорізька обл.
8;Івано-Франківська обл.
9;Київська обл.
10;Кіровоградська обл.
11;Луганська обл.
12;Львівська обл.
13;Миколаївська обл.
14;Одеська обл.
15;Полтавська обл.
16;Рівненська обл.
17;Сумська обл.
18;Тернопільська обл.
19;Харківська обл.
20;Херсонська обл.
21;Хмельницька обл.
22;Черкаська обл.
23;Чернівецька обл.
24;Чернігівська обл.
25;м.Київ
26;м.Севастополь
